The Hobbit: An Unexpected Journey ;-83.2864563737457;-4.572889505027786
The Fast and the Furious ;-81.86129984069659;-4.744176895390345
The Curious Case of Benjamin Button ;-84.3604839606831;-4.791657251910521
X-Men: First Class ;-79.8217566717267;-4.6657248088565915
The Hunger Games: Mockingjay - Part 2 ;-79.11404141327408;-4.600060240550443
The Sorcerer's Apprentice ;-87.47730736777432;-4.531203138669327
Poseidon ;-83.09918797494015;-4.921050583281148
Alice Through the Looking Glass ;-84.23521317648449;-4.444561164726457
Shrek the Third ;-91.67418255096418;-4.594926493591024
Warcraft ;-88.69695679294222;-4.675931388316377
Terminator Genisys ;-83.23033097840913;-4.683312580364606
The Chronicles of Narnia: The Voyage of the Dawn Treader ;-85.34650735644709;-4.439944891171323
Pearl Harbor ;-97.94796927095263;-4.873729500021171
Transformers ;-89.43037130427814;-4.677096304368267
Alexander ;-100.72257611852613;-3.764359466478827
Harry Potter and the Order of the Phoenix ;-82.68725810126588;-3.353094385339593
Harry Potter and the Goblet of Fire ;-88.03746096218302;-3.345327221383862
Hancock ;-75.83805372444834;-4.770602960818042
I Am Legend ;-82.60645503566343;-4.771905961790282
Charlie and the Chocolate Factory ;-90.59049977831268;-4.589941905979581
Ratatouille ;-87.28127059854147;-4.381868165997925
Batman Begins ;-79.03115700991867;-4.611492851935246
Madagascar: Escape 2 Africa ;-86.10884263552708;-4.648790146328364
Night at the Museum: Battle of the Smithsonian ;-84.99808950971769;-4.573315458315634
X-Men Origins: Wolverine ;-92.67404577397258;-4.832124794138248
The Matrix Revolutions ;-83.25229457333212;-3.4316972996672086
Frozen ;-102.54574890517698;-4.5912385781215725
The Matrix Reloaded ;-91.97297033244722;-4.814471612391812
Thor: The Dark World ;-84.02691197742229;-4.678406340971309
Mad Max: Fury Road ;-82.63561895174017;-3.5708520955771954
Angels & Demons ;-83.21237946088988;-4.6388875946648485
Thor ;-79.4605137970634;-4.683221093799345
Bolt ;-90.04825422328669;-4.752317186706817
